name,type,lat,lon,formatted_address,website,opening_hours
Pronto Pizzeria and Restaurant,restaurant,41.1929515,-73.8795178,n/a,n/a,n/a
Franki's Grill,fast_food,41.2087922,-73.8835806,n/a,n/a,n/a
Café Botanica,cafe,40.6430379,-74.1043496,n/a,n/a,n/a
Blue,restaurant,40.6453855,-74.1077517,n/a,https://www.bluerestaurantnyc.com/,"Su 12:00-21:00, Mo closed, Tu-Th 12:00-22:00, Fr-Sa 12:00-23:00"
Tim Hortons,cafe,44.6703146,-74.9617738,n/a,n/a,Mo-We 06:00-21:00; Fr-Su 06:00-21:00
Dunkin',fast_food,41.2015942,-73.8850627,n/a,https://locations.dunkindonuts.com/en/ny/croton-on-hudson/22-maple-st/335799,Mo-Su 05:00-21:00
Dunkin',fast_food,42.8239070,-73.9599854,n/a,https://locations.dunkindonuts.com/en/ny/scotia/17-mohawk-ave/304771,Mo-Su 05:00-18:00
Union St Seagoo,restaurant,42.8040938,-73.9036071,n/a,https://www.unionwingseafood.com/,Tu-Su 11:00-22:00
Crossgates Restaurant and Banquet House,restaurant,42.7016954,-73.8502478,n/a,n/a,n/a
Italian American Community Center,restaurant,42.7063338,-73.8589999,n/a,n/a,n/a
Elias Pizzeria,restaurant,42.5889386,-73.6994962,n/a,n/a,n/a
East Greenbush Diner,restaurant,42.5837957,-73.6931966,n/a,n/a,n/a
Gourmet Garden,cafe,41.0962843,-74.0071677,n/a,n/a,n/a
Coffee Bean Cafe,cafe,42.5226741,-73.6828214,n/a,n/a,n/a
Zia Pizza,fast_food,42.5147991,-73.6795333,n/a,n/a,n/a
Fireside Pizza Den,restaurant,42.4527282,-73.6943127,n/a,n/a,n/a
The Pond Restaurant,restaurant,42.0577337,-73.5662121,n/a,n/a,n/a
Big Grill Restaurant,restaurant,41.9534952,-73.5134736,n/a,n/a,n/a
Washington House,restaurant,42.1793884,-73.5259086,n/a,n/a,n/a
Hillsdale House,restaurant,42.1789805,-73.5254406,n/a,n/a,n/a
Dutch Treat Restaurant,restaurant,42.1764787,-73.5769997,n/a,n/a,n/a
Vanderbilt House,restaurant,42.2504136,-73.6442881,n/a,n/a,n/a
Zia Pizzeria,fast_food,42.4138116,-73.6778903,n/a,n/a,n/a
White Stone Cafe,restaurant,42.3306009,-73.6132761,n/a,n/a,n/a
DQ Grill & Chill,fast_food,42.3300533,-73.6141682,n/a,https://www.dairyqueen.com/locations/ny/ghent/2319-state-route-66/3205,n/a
Old Chatham Country Store and Cafe,cafe,42.4406111,-73.5625386,n/a,n/a,n/a
Jackson's Old Chatham House,restaurant,42.4411291,-73.5624095,n/a,n/a,n/a
